playerName,seasonStartYear,salary,inflationAdjSalary
Michael Jordan,1996,"$30,140,000","$52,258,566"
Horace Grant,1996,"$14,857,000","$25,759,971"
Reggie Miller,1996,"$11,250,000","$19,505,934"
Shaquille O'Neal,1996,"$10,714,000","$18,576,585"
Gary Payton,1996,"$10,212,000","$17,706,187"
David Robinson,1996,"$9,952,000","$17,255,383"
Juwan Howard,1996,"$9,750,000","$16,905,143"
Hakeem Olajuwon,1996,"$9,655,000","$16,740,426"
Alonzo Mourning,1996,"$9,380,000","$16,263,615"
Dennis Rodman,1996,"$9,000,000","$15,604,747"
Dikembe Mutombo,1996,"$8,013,000","$13,893,427"
Chris Webber,1996,"$8,000,000","$13,870,887"
Otis Thorpe,1996,"$7,000,000","$12,137,026"
Latrell Sprewell,1996,"$7,000,000","$12,137,026"
Elden Campbell,1996,"$7,000,000","$12,137,026"
Kevin Johnson,1996,"$7,000,000","$12,137,026"
Danny Manning,1996,"$6,833,000","$11,847,471"
Derrick Coleman,1996,"$6,739,000","$11,684,488"
Anfernee Hardaway,1996,"$6,655,000","$11,538,844"
Dale Davis,1996,"$6,508,000","$11,283,966"
John Stockton,1996,"$6,000,000","$10,403,165"
Clyde Drexler,1996,"$5,500,000","$9,536,234"
Sean Elliott,1996,"$5,333,000","$9,246,680"
Dino Radja,1996,"$5,313,000","$9,212,002"
Antonio Davis,1996,"$5,200,000","$9,016,076"
Shawn Bradley,1996,"$5,130,000","$8,894,706"
Grant Hill,1996,"$5,025,000","$8,712,650"
Larry Johnson,1996,"$5,004,000","$8,676,239"
Tom Gugliotta,1996,"$5,000,000","$8,669,304"
Allan Houston,1996,"$5,000,000","$8,669,304"
A.C. Green,1996,"$4,851,000","$8,410,959"
Vlade Divac,1996,"$4,718,000","$8,180,355"
Charles Barkley,1996,"$4,695,000","$8,140,476"
Karl Malone,1996,"$4,657,000","$8,074,590"
Danny Ferry,1996,"$4,643,000","$8,050,316"
Glenn Robinson,1996,"$4,640,000","$8,045,114"
Christian Laettner,1996,"$4,500,000","$7,802,373"
Steve Smith,1996,"$4,500,000","$7,802,373"
Jason Kidd,1996,"$4,408,000","$7,642,858"
Kenny Anderson,1996,"$4,175,000","$7,238,869"
John Williams,1996,"$4,151,000","$7,197,256"
Harvey Grant,1996,"$4,111,000","$7,127,902"
Chris Dudley,1996,"$4,100,000","$7,108,829"
Glen Rice,1996,"$4,002,000","$6,938,911"
Rik Smits,1996,"$4,000,000","$6,935,443"
Brian Shaw,1996,"$4,000,000","$6,935,443"
Toni Kukoc,1996,"$3,960,000","$6,866,089"
Jim Jackson,1996,"$3,900,000","$6,762,057"
Ron Harper,1996,"$3,840,000","$6,658,025"
Jamal Mashburn,1996,"$3,833,000","$6,645,888"
Kendall Gill,1996,"$3,800,000","$6,588,671"
Nick Anderson,1996,"$3,790,000","$6,571,332"
Billy Owens,1996,"$3,773,000","$6,541,857"
Vin Baker,1996,"$3,765,000","$6,527,986"
Rony Seikaly,1996,"$3,752,000","$6,505,446"
Isaiah Rider,1996,"$3,610,000","$6,259,237"
Sherman Douglas,1996,"$3,594,000","$6,231,496"
Mitch Richmond,1996,"$3,575,000","$6,198,552"
Charles Smith,1996,"$3,557,000","$6,167,343"
Tyrone Hill,1996,"$3,480,000","$6,033,835"
Wayman Tisdale,1996,"$3,475,000","$6,025,166"
Mark Price,1996,"$3,409,000","$5,910,731"
Dana Barros,1996,"$3,400,000","$5,895,126"
Bryant Stith,1996,"$3,400,000","$5,895,126"
Donyell Marshall,1996,"$3,360,000","$5,825,772"
Detlef Schrempf,1996,"$3,333,000","$5,778,958"
Shawn Kemp,1996,"$3,300,000","$5,721,740"
Clarence Weatherspoon,1996,"$3,300,000","$5,721,740"
LaPhonso Ellis,1996,"$3,294,000","$5,711,337"
Dee Brown,1996,"$3,250,000","$5,635,047"
Stanley Roberts,1996,"$3,250,000","$5,635,047"
Calbert Cheaney,1996,"$3,200,000","$5,548,354"
Lionel Simmons,1996,"$3,194,000","$5,537,951"
Olden Polynice,1996,"$3,140,000","$5,444,323"
Loy Vaught,1996,"$3,100,000","$5,374,968"
Mahmoud Abdul-Rauf,1996,"$3,100,000","$5,374,968"
Sharone Wright,1996,"$3,100,000","$5,374,968"
Joe Dumars,1996,"$3,075,000","$5,331,622"
Bobby Hurley,1996,"$3,068,000","$5,319,485"
Chris Gatling,1996,"$3,047,000","$5,283,074"
Rod Strickland,1996,"$3,036,000","$5,264,001"
Derrick McKey,1996,"$3,000,000","$5,201,582"
Patrick Ewing,1996,"$3,000,000","$5,201,582"
Jim McIlvaine,1996,"$3,000,000","$5,201,582"
Dennis Scott,1996,"$3,000,000","$5,201,582"
Clifford Robinson,1996,"$2,924,000","$5,069,809"
Todd Day,1996,"$2,915,000","$5,054,204"
Mark Jackson,1996,"$2,900,000","$5,028,196"
Stojko Vrankovic,1996,"$2,900,000","$5,028,196"
Ken Norman,1996,"$2,869,000","$4,974,446"
Chris Mullin,1996,"$2,844,000","$4,931,100"
Mookie Blaylock,1996,"$2,800,000","$4,854,810"
Joe Smith,1996,"$2,794,000","$4,844,407"
Luc Longley,1996,"$2,790,000","$4,837,471"
Anthony Mason,1996,"$2,777,000","$4,814,931"
Sam Perkins,1996,"$2,730,000","$4,733,440"
Pooh Richardson,1996,"$2,721,000","$4,717,835"
Robert Pack,1996,"$2,700,000","$4,681,424"
Lamond Murray,1996,"$2,700,000","$4,681,424"
Felton Spencer,1996,"$2,694,000","$4,671,021"
Arvydas Sabonis,1996,"$2,640,000","$4,577,392"
Hersey Hawkins,1996,"$2,604,000","$4,514,973"
Charles Oakley,1996,"$2,600,000","$4,508,038"
Chris Childs,1996,"$2,600,000","$4,508,038"
Antonio McDyess,1996,"$2,545,000","$4,412,675"
Sarunas Marciulionis,1996,"$2,500,000","$4,334,652"
Tim Hardaway,1996,"$2,500,000","$4,334,652"
Chris Morris,1996,"$2,500,000","$4,334,652"
Stacey Augmon,1996,"$2,480,000","$4,299,974"
Micheal Williams,1996,"$2,475,000","$4,291,305"
Terry Mills,1996,"$2,457,000","$4,260,096"
Marcus Camby,1996,"$2,434,000","$4,220,217"
BJ Armstrong,1996,"$2,400,000","$4,161,266"
Cedric Ceballos,1996,"$2,400,000","$4,161,266"
Scott Williams,1996,"$2,400,000","$4,161,266"
Jeff Hornacek,1996,"$2,396,000","$4,154,330"
Gheorghe Muresan,1996,"$2,363,000","$4,097,113"
Dan Majerle,1996,"$2,350,000","$4,074,573"
Andrew Lang,1996,"$2,332,000","$4,043,363"
Armen Gilliam,1996,"$2,317,000","$4,017,355"
Terry Davis,1996,"$2,300,000","$3,987,880"
Antoine Carr,1996,"$2,300,000","$3,987,880"
Jerry Stackhouse,1996,"$2,286,000","$3,963,605"
Kevin Edwards,1996,"$2,280,000","$3,953,202"
Rodney Rogers,1996,"$2,280,000","$3,953,202"
Allen Iverson,1996,"$2,267,000","$3,930,662"
Grant Long,1996,"$2,260,000","$3,918,525"
Jayson Williams,1996,"$2,250,000","$3,901,186"
Scottie Pippen,1996,"$2,250,000","$3,901,186"
John Salley,1996,"$2,225,000","$3,857,840"
Duane Causwell,1996,"$2,215,000","$3,840,501"
Shareef Abdur-Rahim,1996,"$2,186,000","$3,790,219"
Doug West,1996,"$2,155,000","$3,736,470"
Blue Edwards,1996,"$2,100,000","$3,641,107"
George Lynch,1996,"$2,090,000","$3,623,769"
Rasheed Wallace,1996,"$2,060,000","$3,571,753"
Chuck Person,1996,"$2,060,000","$3,571,753"
